Label;Tags
12 funnel management;12<>X, funnel<>BO, management<>A, 
1st line support;1st<>X, line<>BO, support<>A, 
1st test cycle;1st<>X, test<>BO, cycle<>BO, 
2 converged product fulfillment;2<>X, converged<>BO, product<>BO, fulfillment<>A, 
2 converged product fulfillment order to cash;2<>X, converged<>BO, product<>BO, fulfillment<>A, order<>BO, to<>X, cash<>BO, 
21 order intake and planning;21<>X, order<>BO, intake<>A, and<>X, planning<>A, 
22 customer setup and configuration;22<>X, customer<>BO, setup<>A, and<>X, configuration<>A, 
23 connectivity / access fulfillment;23<>X, connectivity<>BO, /<>BO, access<>BO, fulfillment<>A, 
23 connectivity fulfillment;23<>X, connectivity<>BO, fulfillment<>A, 
24 number porting and migration;24<>X, number<>BO, porting<>A, and<>X, migration<>BO, 
25 customer approval and handover to support;25<>X, customer<>BO, approval<>A, and<>X, handover<>A, to<>X, support<>REC, 
2nd line support;2nd<>X, line<>BO, support<>A, 
2nd test cycle;2nd<>X, test<>BO, cycle<>BO, 
3rd line it support;3rd<>X, line<>BO, it<>BO, support<>A, 
411 create test plan configuration change;411<>X, create<>BO, test<>BO, plan<>BO, configuration<>BO, change<>A, 
414 test configuration change;414<>X, test<>BO, configuration<>BO, change<>A, 
422 create testscripts configuration change;422<>X, create<>BO, testscripts<>BO, configuration<>BO, change<>A, 
422 execute qa check;422<>X, execute<>BO, qa<>BO, check<>A, 
43 customer sla management;43<>X, customer<>BO, sla<>BO, management<>A, 
4g support;4g<>BO, support<>A, 
51 network monitoring;51<>X, network<>BO, monitoring<>A, 
52 change management;52<>X, change<>BO, management<>A, 
53 capacity management;53<>X, capacity<>BO, management<>A, 
54 configuration management;54<>X, configuration<>BO, management<>A, 
55 security management;55<>X, security<>BO, management<>A, 
6 billing and collections;6<>X, billing<>A, and<>X, collections<>BO, 
61 customer billing and collections;61<>X, customer<>BO, billing<>A, and<>X, collections<>BO, 
62 wholesale billing and collections;62<>X, wholesale<>BO, billing<>A, and<>X, collections<>BO, 
7 partner / supplier management;7<>X, partner<>BO, /<>BO, supplier<>BO, management<>A, 
absence entitlement accrual;absence<>BO, entitlement<>BO, accrual<>A, 
absence entitlement compensation;absence<>BO, entitlement<>BO, compensation<>A, 
academic committee decision;academic<>BO, committee<>BO, decision<>A, 
academic recognition agency verification;academic<>BO, recognition<>BO, agency<>BO, verification<>A, 
accept;accept<>A, 
accept and count usage;accept<>A, and<>A, count<>A, usage<>BO, 
accept and register order;accept<>A, and<>A, register<>A, order<>BO, 
accept bike;accept<>A, bike<>BO, 
accept case;accept<>A, case<>BO, 
accept case from ciboodle worklist;accept<>A, case<>BO, from<>X, ciboodle<>REC, worklist<>REC, 
accept ciboodle case;accept<>A, ciboodle<>BO, case<>BO, 
accept claim;accept<>A, claim<>BO, 
accept coffee;accept<>A, coffee<>BO, 
accept customer po;accept<>A, customer<>BO, po<>BO, 
accept da;accept<>A, da<>BO, 
accept date;accept<>A, date<>BO, 
accept date for meeting;accept<>A, date<>BO, for<>BO, meeting<>BO, 
accept hold;accept<>A, hold<>BO, 
accept insurance;accept<>A, insurance<>BO, 
accept lo;accept<>A, lo<>BO, 
accept m2m solutions;accept<>A, m2m<>BO, solutions<>BO, 
accept or reject claim;accept<>A, or<>X, reject<>A, claim<>BO, 
accept order;accept<>A, order<>BO, 
accept order and start project;accept<>A, order<>BO, and<>X, start<>BO, project<>BO, 
accept payment;accept<>A, payment<>BO, 
